customer_id,product,units,price,date,sales,z_score
103,D,0,19.875236858841944,2024-07-31,0.0,-1.2658898948045423
436,B,1,40.17461987277778,2024-05-24,40.17461987277778,-0.6572308051284873
861,C,3,17.97176043831122,2024-04-08,53.91528131493367,-0.44905513323877083
271,C,3,20.0510870398798,2024-11-05,60.15326111963939,-0.3545476277197827
107,B,3,40.3007320938906,2024-11-05,120.9021962816718,0.5658193027354015
72,A,4,10.228512826367638,2024-06-28,40.91405130547055,-0.6460281686349532
701,C,4,43.10658328832985,2024-05-14,172.4263331533194,1.346427416613073
21,A,3,16.960663199934793,2024-07-08,50.88198959980438,-0.49501052945406954
615,C,4,7.30503819630087,2024-01-30,29.22015278520348,-0.8231946894545512
122,A,3,10.280421788166016,2024-03-22,30.84126536449805,-0.7986342851520223
467,A,5,47.864969903247065,2024-02-26,239.32484951623533,2.3599625838175236
215,A,4,25.30957797697408,2024-06-22,101.23831190789632,0.2679047984951938
331,B,1,16.53971476993061,2024-07-26,16.53971476993061,-1.0153076175546965
459,A,1,28.45719275806378,2024-11-21,28.45719275806378,-0.8347537921180895
88,A,1,35.70559940272101,2024-11-17,35.70559940272101,-0.7249379779570608
373,A,2,19.34592836198312,2024-07-01,38.69185672396624,-0.6796951687296564
100,C,2,37.63720414224608,2024-08-22,75.27440828449215,-0.12545712985415655
872,A,4,16.351342290824093,2024-04-16,65.40536916329637,-0.2749764130858728
664,C,2,10.055175441981826,2024-07-04,20.11035088396365,-0.9612112718116863
131,A,3,29.73686991660927,2024-09-22,89.21060974982781,0.08568103957457154
662,A,4,11.800340415235864,2024-05-11,47.201361660943455,-0.5507732885740713
309,B,4,47.321819541461295,2024-11-25,189.2872781658452,1.601876440770632
770,C,4,5.020206265933284,2024-11-24,20.080825063733137,-0.9616585979822972
344,A,5,39.00632449849459,2024-11-13,195.03162249247296,1.6889052017073392
492,C,3,17.57629417806099,2024-12-30,52.72888253418297,-0.4670294763482076
806,D,2,7.706789768316886,2024-10-24,15.413579536633772,-1.0323689475217543
386,B,4,47.88502692348072,2024-01-24,191.5401076939229,1.636007570675466
192,B,3,9.562769772485604,2024-09-17,28.688309317456813,-0.831252298013237
956,B,2,40.45472397659504,2024-12-20,80.90944795319008,-0.040084371483338106
277,D,5,28.2803996136022,2024-07-14,141.40199806801098,0.8763982387234782
161,D,2,24.367765634491324,2024-04-08,48.73553126898265,-0.5275300997151635
460,B,1,17.60701036596222,2024-11-28,17.60701036596222,-0.9991377280086837
314,D,2,42.861629086207934,2024-04-10,85.72325817241587,0.03284648275213897
22,D,2,13.988812888982755,2024-12-17,27.97762577796551,-0.8420193941939687
253,D,6,37.455857374678665,2024-04-29,224.735144248072,2.1389236105731393
748,B,2,25.060624296260286,2024-11-16,50.12124859252057,-0.5065360132156808
857,B,3,49.932275321627145,2024-07-21,149.79682596488144,1.0035827229047103
561,B,3,32.51295590763977,2024-03-30,97.53886772291932,0.21185696687747088
475,D,4,9.68853217206958,2024-07-13,38.75412868827832,-0.6787517273920518
59,B,2,23.87845351183998,2024-06-25,47.75690702367996,-0.5423565882834962
511,D,2,7.98345411733381,2024-04-24,15.96690823466762,-1.0239858304517377
682,A,3,17.854503547510156,2024-11-28,53.56351064253047,-0.4543845779956271
476,D,4,20.44925576964971,2024-02-01,81.79702307859884,-0.02663730790038024
700,C,5,43.39294737528213,2024-08-02,216.96473687641063,2.0211993087073177
783,B,0,5.520074899253054,2024-10-05,0.0,-1.2658898948045423
190,C,3,28.95253767522916,2024-08-30,86.85761302568747,0.05003234274405256
958,D,2,15.05946900214771,2024-10-12,30.11893800429542,-0.8095777891578175
687,A,5,19.40418941205001,2024-03-10,97.02094706025004,0.20401029352840183
958,C,4,5.974307848649084,2024-03-11,23.897231394596336,-0.9038387502641834
563,C,1,38.73856394503908,2024-04-20,38.73856394503908,-0.678987538520596
876,D,1,47.77653990885806,2024-06-06,47.77653990885806,-0.5420591434275632
567,B,2,14.867016814123332,2024-02-06,29.734033628246664,-0.8154092207402457
244,D,2,20.37977901715246,2024-10-30,40.75955803430492,-0.6483687939871414
832,C,2,14.289529762843893,2024-11-21,28.579059525687786,-0.832907469338218
505,C,3,46.85218986386879,2024-02-04,140.55656959160638,0.8635897111390438
131,B,0,5.4210185558342046,2024-11-19,0.0,-1.2658898948045423
485,B,0,31.27380265809658,2024-02-28,0.0,-1.2658898948045423
